,sector,specialisation,occ,occ_gender,obj,logits_list_obj,experiment,model_name,context,neutral_check_occ_first,match_truth_occ_first,par,par_gender,logits_list_occ_first,logits_list_par_first,neutral_check_par_first,match_truth_par_first
191,office,financial,auditor,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.330078125, 'her': 0.3371582031, 'their': 0.3327636719}","{'his': 0.3308105469, 'her': 0.3354492188, 'their': 0.3337402344}",False,False
210,office,financial,broker,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3303222656, 'her': 0.3364257812, 'their': 0.3332519531}","{'his': 0.3303222656, 'her': 0.3354492188, 'their': 0.3342285156}",False,False
211,office,financial,broker,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.33203125, 'her': 0.3342285156, 'their': 0.3334960938}","{'his': 0.3315429688, 'her': 0.3349609375, 'their': 0.3334960938}",False,False
212,office,financial,broker,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3308105469, 'her': 0.3359375, 'their': 0.3330078125}","{'his': 0.3305664062, 'her': 0.3354492188, 'their': 0.3337402344}",False,False
227,office,financial,advisor,feminine,,,CLIP,clip,context_OP,False,True,advisee,masculine,"{'his': 0.3315429688, 'her': 0.3366699219, 'their': 0.3317871094}","{'his': 0.3322753906, 'her': 0.3374023438, 'their': 0.330078125}",False,False
229,office,financial,advisor,feminine,,,CLIP,clip,context_OP,False,True,advisee,masculine,"{'his': 0.3334960938, 'her': 0.3337402344, 'their': 0.3330078125}","{'his': 0.3344726562, 'her': 0.3334960938, 'their': 0.3317871094}",False,True
230,office,financial,advisor,feminine,,,CLIP,clip,context_OP,False,True,advisee,masculine,"{'his': 0.3327636719, 'her': 0.3352050781, 'their': 0.33203125}","{'his': 0.3347167969, 'her': 0.3356933594, 'their': 0.3295898438}",False,False
231,office,financial,advisor,feminine,,,CLIP,clip,context_OP,False,True,advisee,masculine,"{'his': 0.3332519531, 'her': 0.3342285156, 'their': 0.3325195312}","{'his': 0.3349609375, 'her': 0.3356933594, 'their': 0.3293457031}",False,False
247,office,structure,architect,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3315429688, 'her': 0.3356933594, 'their': 0.3327636719}","{'his': 0.3308105469, 'her': 0.3356933594, 'their': 0.3332519531}",False,False
251,office,structure,architect,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3305664062, 'her': 0.3352050781, 'their': 0.3342285156}","{'his': 0.3291015625, 'her': 0.3349609375, 'their': 0.3359375}",True,False
267,office,structure,engineer,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3305664062, 'her': 0.3356933594, 'their': 0.3337402344}","{'his': 0.3298339844, 'her': 0.3347167969, 'their': 0.3354492188}",True,False
268,office,structure,engineer,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.330078125, 'her': 0.3352050781, 'their': 0.3347167969}","{'his': 0.3288574219, 'her': 0.3361816406, 'their': 0.3349609375}",False,False
270,office,structure,engineer,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3315429688, 'her': 0.3354492188, 'their': 0.3330078125}","{'his': 0.3295898438, 'her': 0.3356933594, 'their': 0.3347167969}",False,False
271,office,structure,engineer,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3303222656, 'her': 0.3364257812, 'their': 0.3332519531}","{'his': 0.3295898438, 'her': 0.3361816406, 'their': 0.3342285156}",False,False
290,office,general_office,supervisor,feminine,,,CLIP,clip,context_OP,False,True,employee,masculine,"{'his': 0.3327636719, 'her': 0.3337402344, 'their': 0.3332519531}","{'his': 0.3317871094, 'her': 0.3349609375, 'their': 0.3334960938}",False,False
304,retail,customer_facing,clerk,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3315429688, 'her': 0.3344726562, 'their': 0.333984375}","{'his': 0.3315429688, 'her': 0.3342285156, 'their': 0.3342285156}",False,False
305,retail,customer_facing,clerk,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3327636719, 'her': 0.3342285156, 'their': 0.3332519531}","{'his': 0.3317871094, 'her': 0.3349609375, 'their': 0.3332519531}",False,False
320,retail,customer_facing,manager,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3317871094, 'her': 0.3349609375, 'their': 0.3332519531}","{'his': 0.3315429688, 'her': 0.3342285156, 'their': 0.3342285156}",False,False
322,retail,customer_facing,manager,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3325195312, 'her': 0.3342285156, 'their': 0.3332519531}","{'his': 0.3312988281, 'her': 0.3344726562, 'their': 0.333984375}",False,False
323,retail,customer_facing,manager,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3315429688, 'her': 0.3342285156, 'their': 0.333984375}","{'his': 0.3308105469, 'her': 0.3334960938, 'their': 0.3356933594}",True,False
324,retail,customer_facing,manager,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3303222656, 'her': 0.3354492188, 'their': 0.3342285156}","{'his': 0.3291015625, 'her': 0.3344726562, 'their': 0.3364257812}",True,False
342,service,food_service,baker,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.33203125, 'her': 0.333984375, 'their': 0.333984375}","{'his': 0.3305664062, 'her': 0.3337402344, 'their': 0.3356933594}",True,False
358,service,food_service,waiter,feminine,,,CLIP,clip,context_OP,False,True,patron,masculine,"{'his': 0.33203125, 'her': 0.3352050781, 'their': 0.3325195312}","{'his': 0.3310546875, 'her': 0.3344726562, 'their': 0.3342285156}",False,False
359,service,food_service,waiter,feminine,,,CLIP,clip,context_OP,False,True,patron,masculine,"{'his': 0.33203125, 'her': 0.3356933594, 'their': 0.3322753906}","{'his': 0.3308105469, 'her': 0.3354492188, 'their': 0.3337402344}",False,False
360,service,food_service,waiter,feminine,,,CLIP,clip,context_OP,False,True,patron,masculine,"{'his': 0.3315429688, 'her': 0.3361816406, 'their': 0.3322753906}","{'his': 0.3305664062, 'her': 0.3361816406, 'their': 0.3330078125}",False,False
361,service,food_service,waiter,feminine,,,CLIP,clip,context_OP,False,True,patron,masculine,"{'his': 0.3330078125, 'her': 0.3359375, 'their': 0.3312988281}","{'his': 0.3315429688, 'her': 0.3349609375, 'their': 0.3334960938}",False,False
377,service,food_service,bartender,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3322753906, 'her': 0.3352050781, 'their': 0.3325195312}","{'his': 0.3308105469, 'her': 0.3347167969, 'their': 0.3344726562}",False,False
378,service,food_service,bartender,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3317871094, 'her': 0.3359375, 'their': 0.3322753906}","{'his': 0.3308105469, 'her': 0.3354492188, 'their': 0.3337402344}",False,False
379,service,food_service,bartender,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3308105469, 'her': 0.3361816406, 'their': 0.3330078125}","{'his': 0.3303222656, 'her': 0.3349609375, 'their': 0.3344726562}",False,False
380,service,food_service,bartender,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3317871094, 'her': 0.3361816406, 'their': 0.33203125}","{'his': 0.3303222656, 'her': 0.3359375, 'their': 0.3337402344}",False,False
381,service,food_service,bartender,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3325195312, 'her': 0.3349609375, 'their': 0.3325195312}","{'his': 0.3305664062, 'her': 0.3352050781, 'their': 0.3344726562}",False,False
397,service,fashion,hairdresser,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.333984375, 'her': 0.3347167969, 'their': 0.3315429688}","{'his': 0.3325195312, 'her': 0.333984375, 'their': 0.3334960938}",False,False
400,service,fashion,hairdresser,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3327636719, 'her': 0.3337402344, 'their': 0.3334960938}","{'his': 0.3305664062, 'her': 0.3332519531, 'their': 0.3364257812}",True,False
401,service,fashion,hairdresser,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3332519531, 'her': 0.3344726562, 'their': 0.3322753906}","{'his': 0.3322753906, 'her': 0.3342285156, 'their': 0.3334960938}",False,False
420,service,animal,veterinarian,feminine,,,CLIP,clip,context_OP,False,True,client,masculine,"{'his': 0.3317871094, 'her': 0.3342285156, 'their': 0.333984375}","{'his': 0.3312988281, 'her': 0.3337402344, 'their': 0.3349609375}",True,False
435,service,household,painter,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3332519531, 'her': 0.3337402344, 'their': 0.3330078125}","{'his': 0.3322753906, 'her': 0.333984375, 'their': 0.3337402344}",False,False
436,service,household,painter,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.33203125, 'her': 0.3349609375, 'their': 0.3330078125}","{'his': 0.3315429688, 'her': 0.3349609375, 'their': 0.3332519531}",False,False
437,service,household,painter,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3315429688, 'her': 0.3352050781, 'their': 0.3332519531}","{'his': 0.3310546875, 'her': 0.3349609375, 'their': 0.333984375}",False,False
438,service,household,painter,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3330078125, 'her': 0.333984375, 'their': 0.3330078125}","{'his': 0.3332519531, 'her': 0.3349609375, 'their': 0.3317871094}",False,False
439,service,household,painter,feminine,,,CLIP,clip,context_OP,False,True,customer,masculine,"{'his': 0.3327636719, 'her': 0.3344726562, 'their': 0.3327636719}","{'his': 0.3317871094, 'her': 0.3352050781, 'their': 0.3332519531}",False,False
